Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,FIGI,SecurityType
MET,MetLife,reports,Financials,Life & Health Insurance,"New York City, New York",,1099219,1868,BBG000BB6KF5,Common Stock
MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",06/09/2016,1037646,1945,BBG000BZCKH3,Common Stock
MGM,MGM Resorts,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",26/07/2017,789570,1986,BBG000C2BXK4,Common Stock
MCHP,Microchip,reports,Information Technology,Semiconductors,"Chandler, Arizona",07/09/2007,827054,1989,BBG000BHCP19,Common Stock
MU,Micron,reports,Information Technology,Semiconductors,"Boise, Idaho",27/09/1994,723125,1978,BBG000C5Z1S3,Common Stock
MSFT,Microsoft,reports,Information Technology,Systems Software,"Redmond, Washington",01/06/1994,789019,1975,BBG000BPH459,Common Stock
MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,"Memphis, Tennessee",02/12/2016,912595,1977,BBG000BLMY92,REIT
MRNA,Moderna,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",21/07/2021,1682852,2010,BBG003PHHZT1,Common Stock
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",23/12/2013,851968,1878,BBG000FLZN98,Common Stock
TAP,Molson Coors,reports,Consumer Staples,Brewers,"Chicago, Illinois",30/06/1976,24545,"2005 (Molson 1786, Coors 1873)",BBG000BS7KS3,Common Stock
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",02/10/2012,1103982,2012,BBG000D4LWF6,Common Stock
MPWR,Monolithic Power Systems,reports,Information Technology,Semiconductors,"Kirkland, Washington",12/02/2021,1280452,1997,BBG000C30L48,Common Stock
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",28/06/2012,865752,2012 (1935),BBG008NVB1C0,Common Stock
MCO,Moody's,reports,Financials,Financial Exchanges & Data,"New York City, New York",,1059556,1909,BBG000F86GP6,Common Stock
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,"New York City, New York",,895421,1935,BBG000BLZRJ2,Common Stock
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",26/09/2011,1285785,2004 (1865 / 1909),BBG000BFXHL6,Common Stock
MSI,Motorola Solutions,reports,Information Technology,Communications Equipment,"Chicago, Illinois",,68505,1928 (2011),BBG000BP8Z50,Common Stock
MSCI,MSCI,reports,Financials,Financial Exchanges & Data,"New York City, New York",04/04/2018,1408198,1969,BBG000RTDY25,Common Stock
NDAQ,Nasdaq,reports,Financials,Financial Exchanges & Data,"New York City, New York",22/10/2008,1120193,1971,BBG000F5VVB6,Common Stock
NTAP,NetApp,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",25/06/1999,1002047,1992,BBG000FP1N32,Common Stock
NFLX,Netflix,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",20/12/2010,1065280,1997,BBG000CL9VN6,Common Stock
NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",30/04/1989,814453,1903,BBG000BQC9V2,Common Stock
NEM,Newmont,reports,Materials,Gold,"Denver, Colorado",30/06/1969,1164727,1921,BBG000BPWXK1,Common Stock
NWSA,News Corp (Class A),reports,Communication Services,Publishing,"New York City, New York",01/08/2013,1564708,2013 (1980),BBG0035LY913,Common Stock
NWS,News Corp (Class B),reports,Communication Services,Publishing,"New York City, New York",18/09/2015,1564708,2013 (1980),BBG0035M2ZB7,Common Stock
NEE,NextEra Energy,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",30/06/1976,753308,1984 (1925),BBG000BJSBJ0,Common Stock
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,"New York City, New York",09/07/2013,1492633,1923,BBG0088CYPX8,Common Stock
NKE,Nike,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",30/11/1988,320187,1964,BBG000C5HS04,Common Stock
NI,NiSource,reports,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711,1912,BBG000BPZBB6,Common Stock
NDSN,Nordson,reports,Industrials,Industrial Machinery,"Westlake, Ohio",15/02/2022,72331,1935,BBG000BPWGR1,Common Stock
NSC,Norfolk Southern,reports,Industrials,Railroads,"Norfolk, Virginia",04/03/1957,702165,1881/1894 (1980),BBG000BQ5DS5,Common Stock
NTRS,Northern Trust,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124,1889,BBG000BQ74K1,Common Stock
NOC,Northrop Grumman,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",30/06/1985,1133421,"1994 (Northrop 1939, Grumman 1930)",BBG000BQ2C28,Common Stock
NLOK,NortonLifeLock,reports,Information Technology,Application Software,"Tempe, Arizona",25/03/2003,849399,1982,,
NCLH,Norwegian Cruise Line Holdings,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",13/10/2017,1513761,2011 (1966),BBG000BSRN78,Common Stock
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",29/01/2010,1013871,1992,BBG000D8RG11,Common Stock
NUE,Nucor,reports,Materials,Steel,"Charlotte, North Carolina",30/04/1985,73309,1940,BBG000BQ8KV2,Common Stock
NVDA,Nvidia,reports,Information Technology,Semiconductors,"Santa Clara, California",30/11/2001,1045810,1993,BBG000BBJQV0,Common Stock
NVR,NVR,reports,Consumer Discretionary,Homebuilding,"Reston, Virginia",26/09/2019,906163,1980,BBG000BQBYR3,Common Stock
NXPI,NXP,reports,Information Technology,Semiconductors,"Eindhoven, Netherlands",22/03/2021,1413447,1953,BBG000BND699,Common Stock
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",27/03/2009,898173,1957,BBG000BGYWY6,Common Stock
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",31/12/1982,797468,1920,BBG000BQQ2S6,Common Stock
ODFL,Old Dominion Freight Line,reports,Industrials,Trucking,"Thomasville, North Carolina",09/12/2019,878927,1934,BBG000CHSS88,Common Stock
OMC,Omnicom Group,reports,Communication Services,Advertising,"New York City, New York",,29989,1986,BBG000BS9489,Common Stock
OKE,Oneok,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",15/03/2010,1039684,1906,BBG000BQHGR6,Common Stock
ORCL,Oracle,reports,Information Technology,Application Software,"Austin, Texas",31/08/1989,1341439,1977,BBG000BQLTW7,Common Stock
OGN,Organon & Co.,reports,Health Care,Pharmaceuticals,"Jersey City, New Jersey",03/06/2021,1821825,2021,BBG00ZQRGW24,Common Stock
OTIS,Otis Worldwide,reports,Industrials,Industrial Machinery,"Farmington, Connecticut",03/04/2020,1781335,2020 (1853),BBG00RP60KV0,Common Stock
PCAR,Paccar,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",31/12/1980,75362,1905,BBG000BQVTF5,Common Stock
PKG,Packaging Corporation of America,reports,Materials,Paper Packaging,"Lake Forest, Illinois",26/07/2017,75677,1959,BBG000BB8SW7,Common Stock
PARA,Paramount Global,reports,Communication Services,Movies & Entertainment,"New York City, New York",,813828,2019 (1952),BBG000C496P7,Common Stock
PH,Parker-Hannifin,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",30/11/1985,76334,1917,BBG000BR3KL6,Common Stock
PAYX,Paychex,reports,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,723531,1971,BBG000BQSQ38,Common Stock
PAYC,Paycom,reports,Information Technology,Application Software,"Oklahoma City, Oklahoma",28/01/2020,1590955,1998,BBG0064N0ZZ5,Common Stock
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",20/07/2015,1633917,1998,BBG0077VNXV6,Common Stock
PENN,Penn National Gaming,reports,Consumer Discretionary,Casinos & Gaming,"Wyomissing, Pennsylvania",22/03/2021,921738,1972,BBG000CDZLV8,Common Stock
PNR,Pentair,reports,Industrials,Industrial Machinery,"Worsley, England",01/10/2012,77360,1966,BBG000C221G9,Common Stock
PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",13/11/2008,1378946,1842,BBG000BQT4L6,Common Stock
PEP,PepsiCo,reports,Consumer Staples,Soft Drinks,"Purchase, New York",04/03/1957,77476,1898,BBG000DH7JK6,Common Stock
PKI,PerkinElmer,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",31/05/1985,31791,1937,,
PFE,Pfizer,reports,Health Care,Pharmaceuticals,"New York City, New York",04/03/1957,78003,1849,BBG000BR2B91,Common Stock
PM,Philip Morris International,reports,Consumer Staples,Tobacco,"New York City, New York",31/03/2008,1413329,2008 (1847),BBG000J2XL74,Common Stock
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",01/05/2012,1534701,2012 (1917),BBG00286S4N9,Common Stock
PNW,Pinnacle West Capital,reports,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622,1985,BBG000BRDSX5,Common Stock
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",24/09/2008,1038357,1997,BBG000BXRPH1,Common Stock
PNC,PNC Financial Services,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",30/04/1988,713676,1845,BBG000BRD0D8,Common Stock
POOL,Pool Corporation,reports,Consumer Discretionary,Distributors,"Covington, Louisiana",07/10/2020,945841,1993,BBG000BCVG28,Common Stock
PPG,PPG Industries,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",04/03/1957,79879,1883,BBG000BRJ809,Common Stock
PPL,PPL,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224,1920,BBG000BRJL00,Common Stock
PFG,Principal Financial Group,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",22/07/2002,1126328,1879,BBG000NSCNT7,Common Stock
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",04/03/1957,80424,1837,BBG000BR2TH3,Common Stock
PGR,Progressive Corporation,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",04/08/1997,80661,1937,BBG000BR37X2,Common Stock
PLD,Prologis,reports,Real Estate,Industrial REITs,"San Francisco, California",17/07/2003,1045609,1983,BBG000B9Z0J8,REIT
PRU,Prudential Financial,reports,Financials,Life & Health Insurance,"Newark, New Jersey",22/07/2002,1137774,1875,BBG000HCJMF9,Common Stock
PEG,PSEG,reports,Utilities,Electric Utilities,"Newark, New Jersey",04/03/1957,788784,1903,BBG000BQZMH4,Common Stock
PTC,PTC,reports,Information Technology,Application Software,"Boston, Massachusetts",20/04/2021,857005,1985,BBG000C2VBB0,Common Stock
PSA,Public Storage,reports,Real Estate,Specialized REITs,"Glendale, California",19/08/2005,1393311,1972,BBG000BPPN67,REIT
PHM,PulteGroup,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",30/04/1984,822416,1956,BBG000BR54L0,Common Stock
PVH,PVH,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",15/02/2013,78239,1881,BBG000BRRG02,Common Stock
QRVO,Qorvo,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",11/06/2015,1604778,2015,BBG007TJF1N7,Common Stock
PWR,Quanta Services,reports,Industrials,Construction & Engineering,"Houston, Texas",01/07/2009,1050915,1997,BBG000BBL8V7,Common Stock
QCOM,Qualcomm,reports,Information Technology,Semiconductors,"San Diego, California",,804328,1985,BBG000CGC1X8,Common Stock
DGX,Quest Diagnostics,reports,Health Care,Health Care Services,"Secaucus, New Jersey",12/12/2002,1022079,1967,BBG000BN84F3,Common Stock
RL,Ralph Lauren Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",02/02/2007,1037038,1967,BBG000BS0ZF1,Common Stock
RJF,Raymond James Financial,reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",20/03/2017,720005,1962,BBG000BS73J1,Common Stock
RTX,Raytheon Technologies,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,101829,1922,BBG000BW8S60,Common Stock
O,Realty Income Corporation,reports,Real Estate,Retail REITs,"San Diego, California",07/04/2015,726728,1969,BBG000DHPN63,REIT
REG,Regency Centers,reports,Real Estate,Retail REITs,"Jacksonville, Florida",02/03/2017,910606,1963,BBG000BL46Q4,REIT
REGN,Regeneron Pharmaceuticals,reports,Health Care,Biotechnology,"Tarrytown, New York",01/05/2013,872589,1988,BBG000C734W3,Common Stock
RF,Regions Financial Corporation,reports,Financials,Regional Banks,"Birmingham, Alabama",28/08/1998,1281761,1971,BBG000Q3JN03,Common Stock
RSG,Republic Services,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",05/12/2008,1060391,1998 (1981),BBG000BPXVJ6,Common Stock
RMD,ResMed,reports,Health Care,Health Care Equipment,"San Diego, California",26/07/2017,943819,1989,BBG000L4M7F1,Common Stock
RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",05/12/2000,315213,1948,BBG000BS5DR2,Common Stock
ROK,Rockwell Automation,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,1903,BBG000BBCDZ2,Common Stock
ROL,Rollins,reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",01/10/2018,84839,1948,BBG000BSBBP1,Common Stock
ROP,Roper Technologies,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",23/12/2009,882835,1981,BBG000F1ZSN5,Common Stock
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Dublin, California",21/12/2009,745732,1982,BBG000BSBZH7,Common Stock
RCL,Royal Caribbean Group,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",05/12/2014,884887,1997,BBG000BB5792,Common Stock
SPGI,S&P Global,reports,Financials,Financial Exchanges & Data,"New York City, New York",,64040,1917,BBG000BP1Q11,Common Stock
CRM,Salesforce,reports,Information Technology,Application Software,"San Francisco, California",15/09/2008,1108524,1999,BBG000BN2DC2,Common Stock
SBAC,SBA Communications,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",01/09/2017,1034054,1989,BBG000D2M0Z7,REIT
SLB,Schlumberger,reports,Energy,Oil & Gas Equipment & Services,"Cura ao, Kingdom of the Netherlands",31/03/1965,87347,1926,BBG000BT41Q8,Common Stock
STX,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",02/07/2012,1137789,1979,BBG0113JGQF0,Common Stock
SEE,Sealed Air,reports,Materials,Paper Packaging,"Charlotte, North Carolina",04/03/1957,1012100,1960,BBG000C22QV7,Common Stock
SRE,Sempra Energy,reports,Utilities,Multi-Utilities,"San Diego, California",,1032208,1998,BBG000C2ZCH8,Common Stock
NOW,ServiceNow,reports,Information Technology,Systems Software,"Santa Clara, California",21/11/2019,1373715,2003,BBG000M1R011,Common Stock
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",30/06/1964,89800,1866,BBG000BSXQV7,Common Stock
SBNY,Signature Bank,reports,Financials,Regional Banks,"New York City, New York",20/12/2021,1288784,2001,BBG000M6TR37,Common Stock
SPG,Simon,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",26/06/2002,1063761,2003,BBG000BJ2D31,REIT
SWKS,Skyworks,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",12/03/2015,4127,2002,BBG000KLB4Q1,Common Stock
SJM,Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",06/11/2008,91419,1897,BBG000BT1715,Common Stock
SNA,Snap-on,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",30/09/1982,91440,1920,BBG000BT7JW9,Common Stock
SEDG,SolarEdge,reports,Information Technology,Semiconductor Equipment,"Herzliya, Israel",20/12/2021,1419612,2006,BBG0084BBZY6,Common Stock
SO,Southern Company,reports,Utilities,Electric Utilities,"Atlanta, Georgia",04/03/1957,92122,1945,BBG000BT9DW0,Common Stock
LUV,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",01/07/1994,92380,1967,BBG000BNJHS8,Common Stock
SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",30/09/1982,93556,1843,BBG000BTQR96,Common Stock
SBUX,Starbucks,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,1971,BBG000CTQBF3,Common Stock
STT,State Street Corporation,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,1792,BBG000BKFBD7,Common Stock
STE,Steris,reports,Health Care,Health Care Equipment,"Dublin, Ireland",23/12/2019,1757898,1985,BBG00MRHG523,Common Stock
SYK,Stryker Corporation,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/2000,310764,1941,BBG000DN7P92,Common Stock
SIVB,SVB Financial,reports,Financials,Regional Banks,"Santa Clara, California",19/03/2018,719739,1983,,
SYF,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",18/11/2015,1601712,2003,BBG00658F3P3,Common Stock
SNPS,Synopsys,reports,Information Technology,Application Software,"Mountain View, California",16/03/2017,883241,1986,BBG000BSFRF3,Common Stock
SYY,Sysco,reports,Consumer Staples,Food Distributors,"Houston, Texas",31/12/1986,96021,1969,BBG000BTVJ25,Common Stock
TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",15/07/2019,1283699,1994,BBG000NDV1D4,Common Stock
TROW,T. Rowe Price,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937,BBG000BVMPN3,Common Stock
TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,"New York City, New York",19/03/2018,946581,1993,BBG000BS1YV5,Common Stock
TPR,Tapestry,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",,1116132,2017,BBG000BY29C7,Common Stock
TGT,Target,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",31/12/1976,27419,1902,BBG000H8TVT2,Common Stock
TEL,TE Connectivity,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",17/10/2011,1385157,2007,BBG01Q08MMR1,Common Stock
TDY,Teledyne Technologies,reports,Industrials,Aerospace & Defense,"Thousand Oaks, California",22/06/2020,1094285,1960,BBG000BMT9T6,Common Stock
TFX,Teleflex,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",18/01/2019,96943,1943,BBG000BV59Y6,Common Stock
TER,Teradyne,reports,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",21/09/2020,97210,1960,BBG000BV4DR6,Common Stock
TSLA,Tesla,reports,Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California",21/12/2020,1318605,2003,BBG000N9MNX3,Common Stock
TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930,BBG000BVV7G1,Common Stock
TXT,Textron,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",31/12/1978,217346,1923,BBG000BVVQQ8,Common Stock
TMO,Thermo Fisher Scientific,reports,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",03/08/2004,97745,2006 (1902),BBG000BVDLH9,Common Stock
TJX,TJX Companies,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",30/09/1985,109198,1987,BBG000BV8DN6,Common Stock
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",24/01/2014,916365,1938,BBG000BLXZN1,Common Stock
TT,Trane Technologies,reports,Industrials,Building Products,"Dublin, Ireland",17/11/2010,1466258,1871,BBG000BM6788,Common Stock
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",03/06/2016,1260221,1993,BBG000L8CBX4,Common Stock
TRV,The Travelers Companies,reports,Financials,Property & Casualty Insurance,"New York City, New York",21/08/2002,86312,1853,BBG000BJ81C1,Common Stock
TRMB,Trimble,reports,Information Technology,Electronic Equipment & Instruments,"Sunnyvale, California",21/01/2021,864749,1978,BBG000BNPS52,Common Stock
TFC,Truist Financial,reports,Financials,Regional Banks,"Charlotte, North Carolina",04/12/1997,92230,1872,BBG000BYYLS8,Common Stock
TWTR,Twitter,reports,Communication Services,Interactive Media & Services,"San Francisco, California",07/06/2018,1418091,2006,BBG000H6HNW3,Common Stock
TYL,Tyler Technologies,reports,Information Technology,Application Software,"Plano, Texas",22/06/2020,860731,1966,BBG000BVWZF9,Common Stock
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",10/08/2005,100493,1935,BBG000DKCC19,Common Stock
UDR,UDR,reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",07/03/2016,74208,1972,BBG000C41023,REIT
ULTA,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",18/04/2016,1403568,1990,BBG00FWQ4VD6,Common Stock
USB,U.S. Bancorp,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968,BBG000FFDM15,Common Stock
UAA,Under Armour (Class A),reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",01/05/2014,1336917,1996,BBG000BXM6V2,Common Stock
UA,Under Armour (Class C),reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",08/04/2016,1336917,1996,BBG009DTD8H2,Common Stock
UNP,Union Pacific,reports,Industrials,Railroads,"Omaha, Nebraska",04/03/1957,100885,1862,BBG000BW3299,Common Stock
UAL,United Airlines,reports,Industrials,Airlines,"Chicago, Illinois",03/09/2015,100517,1967,BBG000M65M61,Common Stock
UNH,UnitedHealth Group,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",01/07/1994,731766,1977,BBG000CH5208,Common Stock
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",22/07/2002,1090727,1907,BBG000L9CV04,Common Stock
URI,United Rentals,reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",20/09/2014,1067701,1997,BBG000BXMFC3,Common Stock
UHS,Universal Health Services,reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",20/09/2014,352915,1979,BBG000CB8Q50,Common Stock
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980,BBG000BBGGQ1,Common Stock
VTR,Ventas,reports,Real Estate,Health Care REITs,"Chicago, Illinois",04/03/2009,740260,1998,BBG000FRVHB9,REIT
VRSN,Verisign,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",01/02/2006,1014473,1995,BBG000BGKHZ3,Common Stock
VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",08/10/2015,1442145,1971,BBG000BCZL41,Common Stock
VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,"New York City, New York",30/11/1983,732712,1983 (1877),BBG000HS77T5,Common Stock
VRTX,Vertex Pharmaceuticals,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",23/09/2013,875320,1989,BBG000C1S2X2,Common Stock
VFC,VF Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",30/06/1979,103379,1899,BBG000BWCKB6,Common Stock
VTRS,Viatris,reports,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",23/04/2004,1792044,1961,BBG00Y4RQNH4,Common Stock
V,Visa,reports,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",21/12/2009,1403161,1958,BBG000PSKYX7,Common Stock
VNO,Vornado Realty Trust,reports,Real Estate,Office REITs,"New York City, New York",,899689,1982,BBG000BWHD54,REIT
VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",30/06/1999,1396009,1909,BBG000BWGYF8,Common Stock
WAB,Wabtec,reports,Industrials,Construction Machinery & Heavy Trucks,"Pittsburgh, Pennsylvania",27/02/2019,943452,1999 (1869),BBG000BDD940,Common Stock
WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",31/08/1982,104169,1962,BBG000BWXBC2,Common Stock
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",31/12/1979,1618921,2014,BBG000BWLMJ4,Common Stock
WM,Waste Management,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968,BBG000BWVSR1,Common Stock
WAT,Waters,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958,BBG000FQRVM3,Common Stock
WEC,WEC Energy Group,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",31/10/2008,783325,1896,BBG000BWP7D9,Common Stock
WFC,Wells Fargo,reports,Financials,Diversified Banks,"San Francisco, California",30/06/1976,72971,1852,BBG000BWQFY7,Common Stock
WELL,Welltower,reports,Real Estate,Health Care REITs,"Toledo, Ohio",30/01/2009,766704,1970,BBG000BKY1G5,REIT
WST,West Pharmaceutical Services,reports,Health Care,Health Care Supplies,"Exton, Pennsylvania",22/05/2020,105770,1923,BBG000BX24N8,Common Stock
WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",01/07/2009,106040,1970,BBG000BWNFZ9,Common Stock
WRK,WestRock,reports,Materials,Paper Packaging,"Atlanta, Georgia",,1732845,2015,BBG008NXC572,Common Stock
WY,Weyerhaeuser,reports,Real Estate,Specialized REITs,"Seattle, Washington",,106535,1900,BBG000BX3BL3,REIT
WHR,Whirlpool,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911,BBG000BWSV34,Common Stock
WMB,Williams Companies,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",31/03/1975,107263,1908,BBG000BWVCP8,Common Stock
WTW,Willis Towers Watson,reports,Financials,Insurance Brokers,"London, England",05/01/2016,1140536,2016,BBG000DB3KT1,Common Stock
WYNN,Wynn Resorts,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",14/11/2008,1174922,2002,BBG000LD9JQ8,Common Stock
XEL,Xcel Energy,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",04/03/1957,72903,1909,BBG000BCTQ65,Common Stock
XYL,Xylem,reports,Industrials,Industrial Machinery,"White Plains, New York",01/11/2011,1524472,2011,BBG001D8R5D0,Common Stock
YUM,Yum! Brands,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",06/10/1997,1041061,1997,BBG000BH3GZ2,Common Stock
ZBRA,Zebra Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",23/12/2019,877212,1969,BBG000CC7LQ7,Common Stock
ZBH,Zimmer Biomet,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",07/08/2001,1136869,1927,BBG000BKPL53,Common Stock
ZION,Zions Bancorp,reports,Financials,Regional Banks,"Salt Lake City, Utah",22/06/2001,109380,1873,BBG000BX9WL1,Common Stock
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Parsippany, New Jersey",21/06/2013,1555280,1952,BBG0039320N9,Common Stock
SPY,SPDR S&P 500 ETF Trust,reports,Exchange Traded Fund,Large Blend Equity Index,"Boston, Massachusetts",22/01/1993,884394,1993,BBG000BDTBL9,ETP
QQQ,Invesco QQQ Trust,reports,Exchange Traded Fund,Large Growth Equity Index,"Wheaton, Illinois",10/03/1999,1067839,1999,BBG000BSWKH7,ETP
IWM,iShares Russell 2000 ETF,reports,Exchange Traded Fund,Small Blend Equity Index,"San Francisco, California",22/05/2000,1100663,2000,BBG000CGC9C4,ETP
